Waste type,Month,Value,Source_Sheet
TOTAL (Kg),Hostel no -30,27,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,22,Sept2025
Dry waste,Hostel no -30,8,Sept2025
TOTAL (Kg),Hostel no -30,30,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,19,Sept2025
Dry waste,Hostel no -30,10,Sept2025
TOTAL (Kg),Hostel no -30,29,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,25,Sept2025
Dry waste,Hostel no -30,11,Sept2025
TOTAL (Kg),Hostel no -30,36,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,20,Sept2025
Dry waste,Hostel no -30,4,Sept2025
TOTAL (Kg),Hostel no -30,24,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,35,Sept2025
Dry waste,Hostel no -30,13,Sept2025
TOTAL (Kg),Hostel no -30,48,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,20,Sept2025
Dry waste,Hostel no -30,5,Sept2025
TOTAL (Kg),Hostel no -30,25,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,18,Sept2025
Dry waste,Hostel no -30,10,Sept2025
TOTAL (Kg),Hostel no -30,28,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,26,Sept2025
Dry waste,Hostel no -30,7,Sept2025
TOTAL (Kg),Hostel no -30,33,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,18,Sept2025
Dry waste,Hostel no -30,11,Sept2025
TOTAL (Kg),Hostel no -30,29,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,20,Sept2025
Dry waste,Hostel no -30,12,Sept2025
TOTAL (Kg),Hostel no -30,32,Sept2025
Waste type,Hostel no -30,Hostel no -30,Sept2025
Wet waste,Hostel no -30,19,Sept2025
Dry waste,Hostel no -30,7,Sept2025
TOTAL (Kg),Hostel no -30,26,Sept2025
Wet waste,cantean,25,Sept2025
Dry waste,cantean,2,Sept2025
TOTAL (Kg),cantean,27,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,8,Sept2025
Dry waste,cantean,0,Sept2025
TOTAL (Kg),cantean,8,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,8,Sept2025
Dry waste,cantean,2,Sept2025
TOTAL (Kg),cantean,10,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,8,Sept2025
Dry waste,cantean,0,Sept2025
TOTAL (Kg),cantean,8,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,25,Sept2025
Dry waste,cantean,2,Sept2025
TOTAL (Kg),cantean,27,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,8,Sept2025
Dry waste,cantean,0,Sept2025
TOTAL (Kg),cantean,8,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,24,Sept2025
Dry waste,cantean,2,Sept2025
TOTAL (Kg),cantean,26,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,27,Sept2025
Dry waste,cantean,2,Sept2025
TOTAL (Kg),cantean,29,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,20,Sept2025
Dry waste,cantean,1,Sept2025
TOTAL (Kg),cantean,21,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,17,Sept2025
Dry waste,cantean,2,Sept2025
TOTAL (Kg),cantean,19,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,19,Sept2025
Dry waste,cantean,2,Sept2025
TOTAL (Kg),cantean,21,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,17,Sept2025
Dry waste,cantean,2,Sept2025
TOTAL (Kg),cantean,19,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,19,Sept2025
Dry waste,cantean,1,Sept2025
TOTAL (Kg),cantean,20,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,19,Sept2025
Dry waste,cantean,1,Sept2025
TOTAL (Kg),cantean,20,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,20,Sept2025
Dry waste,cantean,1,Sept2025
TOTAL (Kg),cantean,21,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,25,Sept2025
Dry waste,cantean,2,Sept2025
TOTAL (Kg),cantean,27,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,26,Sept2025
Dry waste,cantean,1,Sept2025
TOTAL (Kg),cantean,27,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,27,Sept2025
Dry waste,cantean,1,Sept2025
TOTAL (Kg),cantean,28,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,27,Sept2025
Dry waste,cantean,1,Sept2025
TOTAL (Kg),cantean,28,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,24,Sept2025
Dry waste,cantean,1,Sept2025
TOTAL (Kg),cantean,25,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,20,Sept2025
Dry waste,cantean,3,Sept2025
TOTAL (Kg),cantean,23,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,19,Sept2025
Dry waste,cantean,1,Sept2025
TOTAL (Kg),cantean,20,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,25,Sept2025
Dry waste,cantean,3,Sept2025
TOTAL (Kg),cantean,28,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,30,Sept2025
Dry waste,cantean,3,Sept2025
TOTAL (Kg),cantean,33,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,29,Sept2025
Dry waste,cantean,3,Sept2025
TOTAL (Kg),cantean,32,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,26,Sept2025
Dry waste,cantean,1,Sept2025
TOTAL (Kg),cantean,27,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,31,Sept2025
Dry waste,cantean,0,Sept2025
TOTAL (Kg),cantean,31,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,25,Sept2025
Dry waste,cantean,0,Sept2025
TOTAL (Kg),cantean,25,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,30,Sept2025
Dry waste,cantean,3,Sept2025
TOTAL (Kg),cantean,33,Sept2025
Waste type,cantean,cantean,Sept2025
Wet waste,cantean,29,Sept2025
Dry waste,cantean,3,Sept2025
TOTAL (Kg),cantean,32,Sept2025
Wet waste,MESS,18,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,18,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,30,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,30,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,32,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,32,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,40,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,40,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,12.5,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,12.5,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,0,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,0,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,0,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,0,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,30,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,30,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,68,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,68,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,50,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,50,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,57,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,57,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,39,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,39,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,46,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,46,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,0,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,0,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,76,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,76,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,92,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,92,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,0,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,0,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,121,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,121,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,78,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,78,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,60,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,60,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,0,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,0,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,60,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,60,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,63,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,63,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,99,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,99,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,53,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,53,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,63,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,63,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,51,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,51,Sept2025
Waste type,MESS,MESS,Sept2025
TOTAL (Kg),MESS,0,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,58,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,58,Sept2025
Waste type,MESS,MESS,Sept2025
Wet waste,MESS,58,Sept2025
Dry waste,MESS,0,Sept2025
TOTAL (Kg),MESS,58,Sept2025
Wet waste,Bistro,0,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,0,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,0,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,0,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,0,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,0,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,0,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,0,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,0,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,0,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,0,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,0,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,0,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,0,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,0,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,0,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,0,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,0,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,38,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,38,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,30,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,30,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,30,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,30,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,25,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,25,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,0,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,0,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,20,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,20,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,30,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,30,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,37,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,37,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,25,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,25,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,30,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,30,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,16,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,16,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,16,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,16,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,22,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,22,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,31,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,31,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,34,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,34,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,33,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,33,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,31,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,31,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,0,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,0,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,20,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,20,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,22,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,22,Sept2025
Waste type,Bistro,Bistro,Sept2025
Wet waste,Bistro,27,Sept2025
Dry waste,Bistro,0,Sept2025
TOTAL (Kg),Bistro,27,Sept2025
Wet waste,0,323.0,Sept2025
Dry waste,0,106.0,Sept2025
TOTAL (Kg),0,429.0,Sept2025
,0,0.0,Sept2025
2025-09-02 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,322.54,Sept2025
Dry waste,0,226.51,Sept2025
TOTAL (Kg),0,549.05,Sept2025
,0,0.0,Sept2025
2025-09-03 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,304.41,Sept2025
Dry waste,0,82.51,Sept2025
TOTAL (Kg),0,386.92,Sept2025
,0,0.0,Sept2025
2025-09-04 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,294.82,Sept2025
Dry waste,0,117.0,Sept2025
TOTAL (Kg),0,411.82,Sept2025
,0,0.0,Sept2025
2025-09-05 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,304.64,Sept2025
Dry waste,0,134.14,Sept2025
TOTAL (Kg),0,438.78,Sept2025
,0,0.0,Sept2025
2025-09-06 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,275.48,Sept2025
Dry waste,0,109.64,Sept2025
TOTAL (Kg),0,385.12,Sept2025
,0,0.0,Sept2025
2025-09-07 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,206.54,Sept2025
Dry waste,0,74.13,Sept2025
TOTAL (Kg),0,280.67,Sept2025
,0,0.0,Sept2025
2025-09-08 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,366.6,Sept2025
Dry waste,0,374.32,Sept2025
TOTAL (Kg),0,612.92,Sept2025
,0,0.0,Sept2025
2025-09-09 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,315.86,Sept2025
Dry waste,0,141.17,Sept2025
TOTAL (Kg),0,457.03,Sept2025
,0,0.0,Sept2025
2025-09-10 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,312.13,Sept2025
Dry waste,0,79.63,Sept2025
TOTAL (Kg),0,391.76,Sept2025
,0,0.0,Sept2025
2025-09-11 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,333.32,Sept2025
Dry waste,0,140.14,Sept2025
TOTAL (Kg),0,473.46,Sept2025
,0,0.0,Sept2025
2025-09-12 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,254.41,Sept2025
Dry waste,0,61.888,Sept2025
TOTAL (Kg),0,316.298,Sept2025
,0,0.0,Sept2025
2025-09-13 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,339.12,Sept2025
Dry waste,0,104.57,Sept2025
TOTAL (Kg),0,443.69,Sept2025
,0,0.0,Sept2025
2025-09-14 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,237.62,Sept2025
Dry waste,0,76.1,Sept2025
TOTAL (Kg),0,313.72,Sept2025
,0,0.0,Sept2025
2025-09-15 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,353.52,Sept2025
Dry waste,0,99.34,Sept2025
TOTAL (Kg),0,452.86,Sept2025
,0,0.0,Sept2025
2025-09-16 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,396.54,Sept2025
Dry waste,0,94.71,Sept2025
TOTAL (Kg),0,491.25,Sept2025
,0,0.0,Sept2025
2025-09-17 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,312.63,Sept2025
Dry waste,0,139.21,Sept2025
TOTAL (Kg),0,451.84,Sept2025
,0,0.0,Sept2025
2025-09-18 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,381.78,Sept2025
Dry waste,0,100.55,Sept2025
TOTAL (Kg),0,482.33,Sept2025
,0,0.0,Sept2025
2025-09-19 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,319.67,Sept2025
Dry waste,0,77.45,Sept2025
TOTAL (Kg),0,397.12,Sept2025
,0,0.0,Sept2025
2025-09-20 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,217.93,Sept2025
Dry waste,0,94.8,Sept2025
TOTAL (Kg),0,312.73,Sept2025
,0,0.0,Sept2025
2025-09-21 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,205.36,Sept2025
Dry waste,0,63.63,Sept2025
TOTAL (Kg),0,268.99,Sept2025
,0,0.0,Sept2025
2025-09-22 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,249.28,Sept2025
Dry waste,0,78.29,Sept2025
TOTAL (Kg),0,327.57,Sept2025
,0,0.0,Sept2025
2025-09-23 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,343.45,Sept2025
Dry waste,0,98.63,Sept2025
TOTAL (Kg),0,442.08,Sept2025
,0,0.0,Sept2025
2025-09-24 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,369.77,Sept2025
Dry waste,0,81.36,Sept2025
TOTAL (Kg),0,451.13,Sept2025
,0,0.0,Sept2025
2025-09-25 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,279.85,Sept2025
Dry waste,0,144.23,Sept2025
TOTAL (Kg),0,424.08,Sept2025
,0,0.0,Sept2025
2025-09-26 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,314.19,Sept2025
Dry waste,0,96.67,Sept2025
TOTAL (Kg),0,410.86,Sept2025
,0,0.0,Sept2025
2025-09-27 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,222.1,Sept2025
Dry waste,0,63.2,Sept2025
TOTAL (Kg),0,285.3,Sept2025
,0,0.0,Sept2025
2025-09-28 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,209.23,Sept2025
Dry waste,0,65.1,Sept2025
TOTAL (Kg),0,274.33,Sept2025
,0,0.0,Sept2025
2025-09-29 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,280.85,Sept2025
Dry waste,0,88.25,Sept2025
TOTAL (Kg),0,369.1,Sept2025
,0,0.0,Sept2025
2025-09-30 00:00:00,0,0.0,Sept2025
Waste type,0,0.0,Sept2025
Wet waste,0,344.67,Sept2025
Dry waste,0,101.11,Sept2025
TOTAL (Kg),0,445.78,Sept2025
,0,8991.31,Sept2025
,0,3314.278,Sept2025
Wet waste,A&B Block,68,Oct-2025
Dry waste,A&B Block,50,Oct-2025
TOTAL (Kg),A&B Block,118,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
TOTAL (Kg),A&B Block,0,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,59,Oct-2025
Dry waste,A&B Block,53,Oct-2025
TOTAL (Kg),A&B Block,112,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,42,Oct-2025
Dry waste,A&B Block,26,Oct-2025
TOTAL (Kg),A&B Block,68,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,25,Oct-2025
Dry waste,A&B Block,15,Oct-2025
TOTAL (Kg),A&B Block,40,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,48,Oct-2025
Dry waste,A&B Block,48,Oct-2025
TOTAL (Kg),A&B Block,96,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,40,Oct-2025
Dry waste,A&B Block,23,Oct-2025
TOTAL (Kg),A&B Block,63,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,17,Oct-2025
Dry waste,A&B Block,10,Oct-2025
TOTAL (Kg),A&B Block,27,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,14,Oct-2025
Dry waste,A&B Block,42,Oct-2025
TOTAL (Kg),A&B Block,56,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,22,Oct-2025
Dry waste,A&B Block,51,Oct-2025
TOTAL (Kg),A&B Block,73,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,26,Oct-2025
Dry waste,A&B Block,68,Oct-2025
TOTAL (Kg),A&B Block,94,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,39,Oct-2025
Dry waste,A&B Block,38,Oct-2025
TOTAL (Kg),A&B Block,77,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,40,Oct-2025
Dry waste,A&B Block,64,Oct-2025
TOTAL (Kg),A&B Block,104,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,45,Oct-2025
Dry waste,A&B Block,73,Oct-2025
TOTAL (Kg),A&B Block,118,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,32,Oct-2025
Dry waste,A&B Block,52,Oct-2025
TOTAL (Kg),A&B Block,84,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,55,Oct-2025
Dry waste,A&B Block,78,Oct-2025
TOTAL (Kg),A&B Block,133,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,28,Oct-2025
Dry waste,A&B Block,50,Oct-2025
TOTAL (Kg),A&B Block,78,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,0,Oct-2025
Dry waste,A&B Block,0,Oct-2025
TOTAL (Kg),A&B Block,0,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,0,Oct-2025
Dry waste,A&B Block,0,Oct-2025
TOTAL (Kg),A&B Block,0,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,0,Oct-2025
Dry waste,A&B Block,0,Oct-2025
TOTAL (Kg),A&B Block,0,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,0,Oct-2025
Dry waste,A&B Block,0,Oct-2025
TOTAL (Kg),A&B Block,0,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,0,Oct-2025
Dry waste,A&B Block,0,Oct-2025
TOTAL (Kg),A&B Block,0,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,0,Oct-2025
Dry waste,A&B Block,0,Oct-2025
TOTAL (Kg),A&B Block,0,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,10,Oct-2025
Dry waste,A&B Block,85,Oct-2025
TOTAL (Kg),A&B Block,95,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,0,Oct-2025
Dry waste,A&B Block,0,Oct-2025
TOTAL (Kg),A&B Block,0,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,22,Oct-2025
Dry waste,A&B Block,48,Oct-2025
TOTAL (Kg),A&B Block,70,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,89,Oct-2025
Dry waste,A&B Block,62,Oct-2025
TOTAL (Kg),A&B Block,151,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,45,Oct-2025
Dry waste,A&B Block,72,Oct-2025
TOTAL (Kg),A&B Block,117,Oct-2025
Waste type,A&B Block,A&B Block,Oct-2025
Wet waste,A&B Block,43,Oct-2025
